Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Details: Program Category,Information: Tagline,Information: Quote,Information: Quote Source,Information: Program Description,Information: Special Notes,Details: Date Text,Details: Time Text,Details: Listing Day and Time Text,Details: Location Text,Details: Location Link,Details: Dana Text,Registration: SIGNED-OUT Instructions,Registration: SIGNED-IN Instructions,Registration: Required?,Registration Closed,Collection: Teacher/Facilitator(s),Dashboard: Special Announcement,Dashboard: Early Arrival Message,Dashboard: Remove From Program List,Hide from Program Page List,Sorting: Day of the Week,Sorting: Sort Order,Large Program Image,Day Filtering,Fillout Registration Form,Event Time,Zoom Link,Zoom Link Link Text
Foundations of Mindful Living,foundations-of-mindful-living,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,65145a0e3f7dbcfd8bc4d986,true,false,Wed Sep 27 2023 16:36:30 GMT+0000 (Coordinated Universal Time),Tue Feb 11 2025 01:34:02 GMT+0000 (Coordinated Universal Time),,classes-courses-and-workshops,A Half-Day Workshop,"“The present moment is filled with joy and happiness. If you are attentive, you will see it.”",Thich Nhat Hanh,"<h3 id="""">About this Supportive Workshop</h3><p id="""">Are you looking for a way to bring more ease, clarity, and balance into your life? The Foundations of Mindful Living workshop offers a gentle yet profound introduction to meditation and mindful living—grounded in traditional wisdom yet deeply relevant to our modern lives. &nbsp;</p><p id="""">This experiential and accessible workshop is designed for anyone serious about developing a skillful and sustainable mindfulness practice—whether you are just beginning or looking to strengthen your foundation. Through guided meditation, reflection, and discussion, you will learn how to cultivate awareness, compassion, and resilience, allowing you to navigate life with greater presence and freedom. &nbsp;</p><h3 id="""">What You’ll Gain: &nbsp;</h3><ul id=""""><li id="""">A clear and supportive introduction to meditation and mindful living</li><li id="""">Practical tools to reduce stress and enhance well-being</li><li id="""">A deeper understanding of how mindfulness fosters clarity, emotional balance, and inner peace</li><li id="""">A safe and encouraging space to explore mindfulness at your own pace</li></ul><h3 id="""">Who is this for? &nbsp;</h3><p id="""">This workshop is ideal for anyone who wants to integrate mindfulness into daily life in a way that is gentle, safe, and transformative. No prior experience is necessary—just a willingness to begin. &nbsp;<br></p>","<h3 id="""">Note about Lunch and Snacks:</h3><p id=""""><strong id=""""> Please bring a bag lunch and your own cup.</strong> Snacks, tea, and other goodies will be offered as&nbsp;part of the registration costs. Please let us know if you have any food sensitivities so we can best support you. </p>","Sunday, February 9",9:30 am - 2:30 pm,Sunday | Feb 9 | 9:30 am - 2:30 pm (CT) | In-person Only,Rooted In Mindfulness,https://maps.app.goo.gl/8upuKS7r4CStvNwF9,"Suggested Dana (Contribution) - $200, $150, $100, or Other","<p id="""">To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"" id="""">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"" id="""">Sign-In</a> and go to your dashboard.</p><p id="""">‍</p>","<p id="""">Join us for a day of learning, reflection, and practice—a step toward a more mindful and intentional life. &nbsp;<br>Reserve your spot today. &nbsp;Please register with the form below.</p>",true,false,jesse-foy,,,true,false,sunday,7.3,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40ce9f249aadb9c18c12_Sky.jpg,Sunday,1AtXJhoRbCus,,,
Foundations of Mindful Living,foundation-of-mindful-living,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,69666fc82d3e012d8d96632a,false,false,Tue Jan 13 2026 16:16:08 GMT+0000 (Coordinated Universal Time),Sun Feb 22 2026 17:36:53 GMT+0000 (Coordinated Universal Time),Sun Feb 22 2026 17:36:53 GMT+0000 (Coordinated Universal Time),classes-courses-and-workshops,A 4-Week Introductory Course ,"""Every morning, when we wake up, we have twenty-four brand-new hours to live. What a precious gift! We have the capacity to live in a way that these twenty-four hours will bring peace, joy, and happiness to ourselves and others.""",Thich Nhat Hanh,"<h3>About this Course</h3><p>We live in a time that asks a great deal of us. Many of us are carrying more than we realize—stress that has settled into our bodies, worry that colors our days, a sense of disconnection from ourselves and the people we love. We do our best to meet the demands of life, but something essential can get lost along the way. The practices in this course offer a way back to our greater intentions and how to live in harmony with them.</p><p>Mindfulness is the simple and profound act of being present—to ourselves, to each other, to life as it actually is. It is not an escape from difficulty, but a way of meeting it with greater clarity, steadiness, and care. </p><p>When we learn to be present, we begin to see more clearly. We respond rather than react. We discover resources within ourselves we didn't know we had. And we become more available—to our own lives and to the people who need us.</p><p><strong>Foundations of Mindful Living</strong> is a 4-week course offering a clear and practical path into meditation and mindful living. Whether you are new to practice or returning to strengthen your foundation, this course will give you what you need to begin—and to continue.</p><h3><strong>The Path We'll Walk Together</strong></h3><p>This course is grounded in the <strong>Mindfulness-Based C.A.R.E. Framework</strong>—a path of practice that moves from settling the mind and body, to seeing ourselves clearly, to living with intention and purpose.</p><ul><li>‍<strong>Calm &amp; Connect:</strong> We begin where all practice begins—by arriving. Learning to settle the nervous system, to find ground in the present moment, to come home to ourselves. This is the foundation. From a place of steadiness, everything else becomes possible.<strong>‍</strong></li><li><strong>Awareness &amp; Attitude:</strong> With some stillness established, we turn toward our experience with open eyes and hearts. We learn to observe our thoughts, emotions, and habits—not to judge them, but to understand. And we cultivate the attitude that makes this seeing healing rather than harsh: curiosity, patience, kindness toward ourselves.<strong>‍</strong></li><li><strong>Remember &amp; Reflect: </strong>Practice is not only what happens on the cushion. It is learning to remember presence in the midst of daily life—while walking, working, listening, and the full spectrum of life. And it is the art of reflection: looking at our lives honestly, discovering what matters, and understanding ourselves more deeply.<strong>‍</strong></li><li><strong>Embody &amp; Engage:</strong> Finally, we bring what we have cultivated into the world. We learn to embody presence in our bodies and our actions. We engage with difficulty without being swept away. And we offer the fruit of our practice to those we love and to the wider world that needs our clarity and care.</li></ul><h3><strong>What You Will Cultivate</strong></h3><ul><li>A sustainable meditation practice you can carry forward for a lifetime.</li><li>The capacity to meet stress, difficulty, and strong emotions with greater skill.</li><li>A quality of presence that transforms ordinary moments—and your relationships.</li><li>The understanding that your own well-being and the well-being of others are not separate.</li></ul><h3><strong>Who This Is For</strong></h3><p>This course is for anyone who senses that a more present, grounded, and meaningful life is possible—and who is ready to begin.</p><p>You may be experiencing stress, anxiety, or exhaustion and seeking real tools to help. You may be longing for greater clarity or connection. You may be curious about meditation but unsure where to start. Or you may have practiced for years and want to return to the foundations with fresh eyes.</p><p>No experience is necessary. Come as you are.</p><h3><strong>What's Included</strong></h3><ul><li>‍<strong>Four Weekly Sessions</strong> 90 minutes each, live on Zoom—a supportive space to learn, practice, and ask questions.<strong>‍</strong></li><li><strong>Home Practice Support</strong> Guided meditations, mindful living practices, and reflection prompts to weave what you're learning into daily life.<strong>‍</strong></li><li><strong>A Foundation for Continued Practice</strong> This course is complete in itself. It also serves as the gateway to deeper study, retreats, and ongoing community at Rooted in Mindfulness.</li></ul>","<h3>Go Deeper</h3><p>While not required, we encourage participants to attend a <strong>Day of Mindfulness Retreat</strong> following this course (Saturday, March 21). A day of extended practice is a beautiful way to integrate and deepen what you've learned—offering spaciousness, stillness, and the support of practicing together in community. Registration will open soon.</p>",4 Tuesday Evenings Feb 24-Mar 17,6:00 - 7:30 pm,4 Tuesday Evenings Feb 24-Mar 17 | 6:00 - 7:30 pm,Rooted In Mindfulness | Zoom Only,,Suggested Program Dana (Donation) - $150,"<p>To participate in this and other RIM community programs, please <a href=""https://www.rootedinmindfulness.org/community-membership"" target=""_blank"">Create a (free) Member Account.</a> If you already have an account, sign in and register.</p><p>Registration closes on Monday, Feb 23 at 7:00 pm. </p>","<p>Reserve your spot today. &nbsp;Please register with the form below.</p><p>Registration closes on Monday, Feb 23 at 7:00 pm. </p><p>‍</p>",true,false,jesse-foy,Registration required. :) ,,false,false,tuesday,2.8,,Tuesday,5fRrmKm3dkus,6:00 pm,https://us02web.zoom.us/j/85362325533?pwd=gKvvEDfY8QLK8sl0rx2C2bExVW7bnu.1,Join Zoom if Registered
Good Evening Silent Meditation,good-evening-meditation,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,5fd0eb32fa7af9b38f878722,false,false,Wed Dec 09 2020 15:20:18 GMT+0000 (Coordinated Universal Time),Sat Jan 03 2026 23:17:19 GMT+0000 (Coordinated Universal Time),Sat Jan 03 2026 23:17:19 GMT+0000 (Coordinated Universal Time),silent-meditation-drop-ins,Evening Community-led Meditation Practice,"""With the support of friends in the practice, peace has a chance.""",Thich Nhat Hanh,"<p>Cultivating stability and awareness through daily meditation practice is a kind and generous act. When we practice together, we support each other and develop a greater sense of well-being.</p><p>Good Evening meditations are held Sunday through Thursday evenings. Each session will provide initial guidance by an experienced community member, sharing traditional instructions to help settle your body and mind, open your heart, and establish your meditation practice. The rest of the 30 min meditation is unguided. Listen to a <a href=""/lessons/meditating-together-practice"" target=""_blank"">Sample Meditation</a>.</p><p>These sessions open 10 minutes early to establish our space together and are held in Noble Silence.<br></p>",,Sunday thru Thursday Evenings,7:30-8:00 PM,Sunday - Thursday | 7:30-8:00 pm (CT) | Zoom Only ,Online (Zoom),,Offered in the Spirit of Dana,"<p>To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"">Sign-In</a> and go to your dashboard.</p>","<p>As a RIM Community Member, you have access to this course. A zoom link is accessible in your <a href=""#/ms/member-page/default"">dashboard</a>.</p>",false,false,rim-community-members,,Held in Noble Silence before and during session.,false,false,monday; tuesday; wednesday; thursday; sunday,7.9,,"Monday, Tuesday, Wednesday, Thursday, Sunday, ",,,https://us02web.zoom.us/j/84687031987?pwd=ySWstIDIuN4yWgCrQgxR9bHQhQtT9B.1,Join Zoom
Good Morning Silent Meditation,good-morning-meditations,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,5fa08ca41fe6c6044d44ae5a,false,false,Mon Nov 02 2020 22:48:04 GMT+0000 (Coordinated Universal Time),Sat Jan 03 2026 23:17:54 GMT+0000 (Coordinated Universal Time),Sat Jan 03 2026 23:17:54 GMT+0000 (Coordinated Universal Time),silent-meditation-drop-ins,Morning Community-led Meditation Practice,"“Waking up this morning, I smile. Twenty-four brand new hours are before me. I vow to live fully in each moment and to look at all beings with eyes of compassion.”",Thich Nhat Hanh,"<p>Cultivating stability and awareness through daily meditation practice is a kind and generous act. When we practice together, we support each other and develop a greater sense of well-being.</p><p>Good Morning meditations are held every weekday. Each session will provide initial guidance by an experienced community member, sharing traditional instructions to help settle your body and mind, open your heart, and establish your meditation practice. The rest of the 30 min meditation is unguided. Listen to a <a href=""/lessons/meditating-together-practice"" target=""_blank"">Sample Meditation</a>.</p><p>These sessions open 10 minutes early to establish our space together and are held in Noble Silence. <br></p>",,Every Weekday Morning,6:30-7:00 AM,Monday - Friday | 6:30-7:00 am (CT) | Zoom Only,Online (Zoom),,Offered in the Spirit of Dana,"<p>To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"">Sign-In</a> and go to your dashboard.</p>","<p>As a RIM Community Member, you have access to this course. A zoom link is accessible in your <a href=""#/ms/member-page/default"">dashboard</a>.</p>",,false,rim-community-members,,Held in Noble Silence before and during session.,false,false,monday; tuesday; wednesday; thursday; friday,0.1,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac4072ff6c71e755d318ec_Good%20Morning.jpg,"Monday, Tuesday, Wednesday, Thursday, Friday ",,6:00 am,https://us02web.zoom.us/j/89592528411?pwd=d0U9vncNrNBcjOiK8DaLq0c9VrckLn.1,Join Zoom
Introduction to Mindful Living,introduction-to-mindful-living,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,65cab8d73134dc064f20ed48,true,false,Tue Feb 13 2024 00:33:27 GMT+0000 (Coordinated Universal Time),Sun Feb 02 2025 15:52:25 GMT+0000 (Coordinated Universal Time),,classes-courses-and-workshops,Beginner's Class,"“Cultivating well-being through mindfulness is not a destination, but a journey. It's about finding peace and joy in the ordinary moments, discovering the extraordinary in the ordinary.”",Matthieu Ricard,"<h4 id=""""><strong id="""">Class Overview:</strong>‍</h4><p id="""">Are you curious about how meditation and mindfulness can enrich your daily life, support healing, and nurture genuine well-being? At Rooted in Mindfulness, we invite you to join our supportive 1.5-hour introductory class, caringly crafted to gently guide you into the transformative potential of these practices.</p><p id=""""><strong id="""">What You’ll Experience:</strong></p><ul id=""""><li id=""""><strong id="""">Essenitals of Meditation and Mindfulness:</strong> Discover the core principles of meditation and how cultivating mindfulness can bring clarity, calm, connection, and meaning to your everyday life.</li><li id=""""><strong id="""">Skillful Meditation Practice:</strong> Engage in guided meditations designed to teach the essentials of a sustainable meditation practice—one that helps you deepen your connection to the present moment, gain insight into your heart and mind, and foster lasting well-being.</li><li id=""""><strong id="""">Practical Integration for Mindful Living:</strong> Learn straightforward, effective techniques to incorporate mindfulness into your daily life, reducing stress and enhancing your overall quality of life.</li><li id=""""><strong id="""">Building a Lifelong Foundation:</strong> Establish a strong basis for those who wish to continue exploring meditation and mindful living as a life practice.</li><li id=""""><strong id="""">Optional Shared Reflection:</strong> Participate in an open, supportive dialogue to ask questions, share experiences, and connect with a caring community. Sharing is entirely optional.</li></ul><p id="""">This class is open to all—whether you’re stepping onto the path for the first time or revisiting these timeless practices. Our universal approach ensures the teachings resonate with people from all backgrounds and experiences.</p><p id="""">We look forward to walking this path together, uncovering the profound potential of mindful living to transform our lives with presence, understanding, and compassion. &nbsp;</p>",,"Saturday, February 1",11:00 am - 12:30 pm,Saturday | Feb 1 | 11:00 am - 1:30 pm (CT) | In Person Only ,Rooted In Mindfulness - In-Person Only,https://maps.app.goo.gl/GXMG4yuwB8NwjhUh6,"Suggested Dana (Contribution) - $75, $50, $35, or other.",<p>Registration has closed. </p>,"<p id="""">Registration has closed</p><p id="""">‍</p><p id="""">‍</p>",true,true,amy-gardner,,,true,false,saturday,6.5,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40ce9f249aadb9c18c12_Sky.jpg,Saturday,cPbYFb1jUsus,,,
Love as a Way of Being,love-as-a-way-of-being,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,66356d349342a7e9d017cd2a,true,false,Fri May 03 2024 23:03:16 GMT+0000 (Coordinated Universal Time),Tue Jul 02 2024 15:47:38 GMT+0000 (Coordinated Universal Time),,retreats-workshops,"Understanding, Kindness, and Compassion: A Medicine for Our Times.",“Love's in need of love today / Don't delay / Send yours in right away.”,Stevie Wonder,"<h4 id=""""><strong id="""">About this Workshop:</strong></h4><p id="""">Inspired by the heartfelt message of Stevie Wonder's powerful song ""<a href=""https://open.spotify.com/track/39sdlCugrGBsoC4Flos0HO?si=ce4b497f0fd64ebe"">Love's in Need of Love Today</a>,"" join us for a transformative day-long workshop/retreat dedicated to cultivating a heart and mind that radiates kindness and compassion. In these challenging times, the virtues of understanding and love are more than mere sentiments—they are potent medicines that nurture wellness and promote healing both within ourselves and in the wider world. This workshop is designed for those who recognize the profound power of love as a fundamental force for personal and global transformation.<br></p><h4 id=""""><strong id="""">Cultivating an Embodiment of Love</strong><br></h4><p id="""">Throughout the day, we will explore how the conditions of our inner and outer worlds sometimes contribute to our disconnection from our innate kindness and compassion. Whether it’s due to numbness, indifference, or the stresses of daily life, we can find ourselves drifting away from our authentic nature. This workshop serves as an opportunity to reconnect with and strengthen that nature, reaffirming that understanding, kindness, and compassion are not only parts of our true self but also manifestations of our deepest health and vitality.<br></p><h4 id=""""><strong id="""">What to Expect</strong></h4><ul id=""""><li id="""">‍<strong id="""">Guided Loving-Kindness Practices:</strong> Engage in heart-opening meditations designed to awaken and expand your natural capacity for kindness and compassion towards yourself and others.<strong id="""">‍</strong></li><li id=""""><strong id="""">Interactive Teachings:</strong> Participate in guided teachings that delve into the psychology of compassion and kindness, exploring how these states of mind can be actively cultivated and maintained even in the face of life’s challenges.<strong id="""">‍</strong></li><li id=""""><strong id="""">Practical Applications:</strong> Learn practical ways to integrate these compassionate practices into everyday life, ensuring that the seeds planted during our time together continue to grow and flourish.</li><li id="""">‍<strong id="""">Supportive Community:</strong> Enjoy the collective energy of a community of like-minded individuals, all committed to cultivating a healthier, more compassionate world.<strong id="""">‍</strong></li><li id=""""><strong id="""">Periods of Reflection and Practice:</strong> Experience periods of noble silence for inner contemplation, allowing you to deeply connect with and internalize the teachings of the day in this beautiful lakehouse setting.</li></ul><h4 id=""""><strong id="""">Further Awaken Your Innate Goodness</strong><br></h4><p id="""">This workshop is more than just a retreat from daily life; it’s a profound engagement with life’s highest potential. By nurturing the qualities of kindness and compassion, we not only heal ourselves but also extend that healing outward, making a tangible difference in a world that yearns for genuine connection and care.<br></p><h4 id=""""><strong id="""">Please Join Us</strong><br></h4><p id="""">This day is an invitation to step into the strength of heart and mind that can truly embody the beautiful, living medicine of love and understanding. It’s an act of self-care that not only enriches your own life but also empowers you to bring about meaningful change in the lives of others. Space is limited, and early registration is encouraged to secure your place in this life-affirming journey.</p>","<h4 id="""">Notes About this Workshop/Retreat:</h4><p id="""">This workshop/retreat will take place at a special location in Port Washington. A kind and generous community member is offering her famliy's Lakehouse for this special offering. Upon registration, you will receive the detailed directions to this beautiful and peaceful house on the shore of Lake Michigan.</p><p id=""""><strong id="""">What to bring</strong>:</p><ul id=""""><li id="""">Suitable attire for walking outdoors ~ There will &nbsp;be periods of indoor and outdoor practice.</li><li id="""">A journal or sketchbook for reflection, if desired.</li><li id="""">Light Snacks and beverages will be offered, but <strong id="""">we ask that you bring a packed lunch. </strong></li></ul><p id=""""><strong id="""">Capacity:</strong>&nbsp;24 attendees (This offering will likely fill up quickly. Early registration is recommended.)</p>","Sunday, June 23rd",9:30 am - 3:30 pm,Sunday | June 23 | 9:30 am - 3:30 pm (CT),"Lake house in Port Washington, Wisconsin. Address will be given in your registration confirmation email.",,Suggested Program Dana (Donation) - $125,"<p id=""""><strong id="""">We're Sorry. This offering is Full.</strong> Please contact <strong id="""">support@rootedinmindfulness.org</strong> to be placed on the waitlist.</p>","<p id=""""><strong id="""">We're Sorry. This offering is Full.</strong> Please contact <strong id="""">support@rootedinmindfulness.org</strong> to be placed on the waitlist.</p>",true,true,jesse-foy,,,true,false,sunday,6.3,https://uploads-ssl.webflow.com/5c1d5875be406805d3bb99dd/5fac40ce9f249aadb9c18c12_Sky.jpg,Sunday,8Q4R39ucYEus,,,
Meditation and Dharma Talk,meditation-and-dharma-talk,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,5fa08ca0f946f428b66247b1,false,false,Mon Nov 02 2020 22:48:00 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 20:09:20 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 20:09:20 GMT+0000 (Coordinated Universal Time),drop-ins-open-practice-and-learning,Deepening Meditation and Mindful Living Practice,"“Mindfulness, also called wise attention, helps us see what we’re adding to our experiences, not only during meditation sessions but also elsewhere.” ",Sharon Salzberg,"<p id="""">These Saturday drop-ins provide ongoing support for developing a skillful meditation practice and integrating the benefits of mindfulness into everyday life. Learn ways to transform unhealthy patterns of heart and mind while cultivating true well-being, wisdom, compassion, and freedom in ourselves and our shared world. </p><p id="""">Each weekly session includes guided meditations and teachings based on traditional buddhist and modern mindfulness-based modalities. Everyone is welcome; please, come just as you are.</p>",,Every Saturday Morning,9:30-10:45 AM ,Saturdays | 9:30-10:45 am (CT) | In-person & Zoom ,In-Person at RIM and Online (Zoom) ,https://maps.app.goo.gl/cjT9hACaWpm6c3YP9,Suggested Donation: $10-$20,"<p id="""">To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"" id="""">Sign-In</a> and go to your dashboard.</p>","<p>As a RIM Community Member, you have access to this course. Attend in-person at RIM or access the zoom link in your <a href=""https://www.rootedinmindfulness.org/members/5fca5da0eba00400040283e2""><strong>dashboard</strong></a>.</p>",,false,jesse-foy,,You are welcome to join within 10 minutes of the start time for community sharing and fellowship.,,false,saturday,6.2,https://cdn.prod.website-files.com/5c1d5875be406805d3bb99dd/5fac40954c28de09a72d89ea_Saturday%20Morning.jpg,Saturday,,,https://us02web.zoom.us/j/84131773078?pwd=azk97528boKf4LZB3h1RMzjhSsz5dq.1,Join Zoom
Mindful Communication ,mindful-communication,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,65f8f391308e5993976344db,true,false,Tue Mar 19 2024 02:08:17 GMT+0000 (Coordinated Universal Time),Sat Apr 27 2024 21:19:25 GMT+0000 (Coordinated Universal Time),,classes-courses-and-workshops,WORKSHOP,"“Speech is a powerful way to connect with others. By practicing right speech, we learn to express ourselves in ways that set positive boundaries yet are respectful and considerate.”",Sharon Salzberg,"<h4 id=""""><strong id="""">Workshop Overview:</strong>‍</h4><p id="""">Have you ever walked away from a conversation filled with confusion or regret about what was said or not said? Wise, compassionate, and skillful action has the potential to transform difficult interactions. Mindful communication is a powerful avenue to cultivate this intention. </p><p id="""">During this 2.5-hour workshop, we will explore what mindful communication truly means and common challenges like listening with empathy, expressing ourselves honestly yet kindly, and navigating difficult conversations with mindfulness. </p><p id="""">You'll discover ways to refine your communication skills through guided meditations, interactive lessons, hands-on practice, and open discussions, making every conversation more meaningful and connected.</p><h4 id=""""><strong id="""">Who Should Attend:</strong></h4><p id="""">This workshop is an invitation to everyone who wishes to deepen their understanding and practice of communication, inspired by the principles of Mindfulness, wisdom, and compassion.</p><h4 id=""""><strong id="""">Please Join Us at RIM</strong>‍</h4>",,"Saturday, Apr 27",11:30 am - 2:00 pm,Saturday | Apr 27 | 11:30 am - 2:00 pm (CT) | In Person Only ,Rooted In Mindfulness - In Person Attendance Only,https://maps.app.goo.gl/GXMG4yuwB8NwjhUh6,Suggested Program Dana (Donation) - $95,"<p id="""">To participate in this and other RIM&nbsp;community programs, please <a href=""/community-membership"" id="""">Create a (free) Member Account</a>. If you already have an account, simply <a href=""/login"" id="""">Sign-In</a> and go to your dashboard.</p><p id="""">‍</p>","<p id="""">Registration for this workshop is closed. </p>",true,false,annie-repaci; lauri-flick-harty,Registration is Closed.,,true,false,saturday,6.5,https://uploads-ssl.webflow.com/5c1d5875be406805d3bb99dd/5fac40ce9f249aadb9c18c12_Sky.jpg,Saturday,,,,
Mindful Day in Nature,mindful-day-in-nature,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,68adb09b1c3be164da62d7bf,true,true,Tue Aug 26 2025 13:03:23 GMT+0000 (Coordinated Universal Time),Sun Jan 11 2026 22:34:08 GMT+0000 (Coordinated Universal Time),,retreats-workshops,A Retreat/Workshop for Deep Connection and Self-Discovery,"""If you are a poet, you will see clearly that there is a cloud floating in this sheet of paper. Without a cloud, there will be no rain. Without the rain, the trees cannot grow, and without the trees, we cannot make paper."" ",Thich Nhat Hanh,"<h3>Join us...</h3><h4>... for a transformative day of practice and exploration at a beautiful lakeside setting, where nature becomes our guide and teacher.</h4><p>In this day-long retreat, we'll step away from our everyday routines to explore the profound wisdom that emerges when we truly connect with the natural world—and discover how deeply interconnected we are with everything around us.</p><p>Through a blend of guided contemplations, nature-based practices, and gentle sharing circles, we'll explore fundamental questions: What does it mean to be truly present? How are we connected to the larger web of life? Who are we beyond the roles and identities we carry?</p><h3>What to Expect</h3><p>The day unfolds through a gentle rhythm of gathering together and venturing out into nature, creating space for both shared discovery and personal insight. We'll:</p><ul><li>Practice seeing with fresh eyes through contemplative exercises with trees and natural elements</li><li>Explore our many roles and identities, discovering the spaciousness that exists beyond them</li><li>Experience guided meditations that open us to the vastness of awareness</li><li>Gather in optional sharing circles that honor indigenous wisdom traditions (sharing is always invited, never required)</li><li>Enjoy a mindful lunch together in silence, contemplating the interconnected journey of our food</li></ul><p>Rather than being ""taught,"" you'll be invited to discover insights through your own direct experience, guided by thoughtful questions and supportive practices. We'll explore how the boundaries between self and nature, between ""me"" and ""not me,"" are more fluid than they appear—and how this understanding can bring greater freedom and authenticity to daily life.</p><h3>Who This Is For</h3><p>This retreat welcomes anyone curious about deepening their relationship with nature and themselves. Whether you're new to mindfulness or have an established practice, you'll find accessible ways to explore these profound themes. No special knowledge or experience is required—just an open mind and willingness to explore.</p><h3>Join Us</h3><p>Come discover how losing yourself in nature might be the key to finding your most authentic self. In recognizing our place in the greater whole, we find both humility and empowerment—understanding that we are both uniquely ourselves and inseparably part of the vast, interconnected dance of life.</p><p><em>Limited spaces available. Register soon to reserve your spot for this intimate gathering in nature's classroom.</em></p>","<h3 id="""">What to Bring</h3><ul id=""""><li id=""""><strong id="""">A small meaningful object</strong> (something that fits in your hand) that holds significance for you—this will serve as both a talking piece for our circles and an object for contemplation practices</li><li id="""">A journal or notebook</li><li id="""">A water bottle for water and tea throughout the day</li><li id="""">Weather-appropriate clothing for outdoor practice</li><li id="""">An open, curious heart</li></ul><h3 id="""">What We'll Provide</h3><ul id=""""><li id="""">The facilitators will make a nourishing lunch for you</li><li id="""">Tea and refreshments</li><li id="""">All practice materials</li></ul><p id=""""><strong id="""">Please let us know about any food allergies or dietary restrictions when you register.</strong></p>","Sunday, Oct 19",9:30 AM – 3:30 PM,"Sunday, Oct 19 | 9:30 AM – 3:30 PM",Lake house - Port Washington,,Suggested Program Dana (Donation) - $150,"<p id="""">This Retreat is Full. Please email us to be waitlisted. </p>","<p id="""">This Retreat is Full. Please email us to be waitlisted. </p>",true,true,jesse-foy; amy-gardner,,,true,false,sunday,6.3,,Sunday,kLxUQoYxzsus,9:30 AM,,
Mindful Eating With CARE,mindful-eating-with-care,5fa08aefda60b60f4d84b62a,653aca94fee370592ef53f08,65442eb96217e2fe3e836dc8,true,false,Thu Nov 02 2023 23:20:25 GMT+0000 (Coordinated Universal Time),Tue Oct 29 2024 20:52:42 GMT+0000 (Coordinated Universal Time),,classes-courses-and-workshops,"Nourishing our Bodies, Hearts, and Minds","""Eating with Mindfulness and gratitude, our food becomes sacred nourishment.” ",Source Unknown,"<h4 id="""">About this Workshop</h4><p id="""">When we practice meditation and mindful living, we can choose what nourishes our bodies, hearts, and minds. Join us for a nourishing practice through meditation and mindful eating.</p><p id="""">We are nourished by the actual food we consume, as well as our sensory experience, intentions, and awareness itself. Mindful Eating is a practice of being fully present and aware while preparing and consuming food, paying attention to the food and its source, our relationship to the food, and its impact on our well-being. It encompasses being conscious of our intentions, considering sensory experiences, and cultivating an awakened consciousness while consuming food.</p><p id="""">This workshop is designed to cultivate presence, connection, and nourishment. Participants will have the opportunity to explore and practice the profound benefits of meditation and the art of mindful eating. There will be periods of guided meditation, noble silence, and shared experience.</p>",<p>Food samples will exclude animal and wheat products. Please get in touch with us before registering if you have any severe food allergies.</p>,"Tuesday Evening, Nov 21",6:30 - 8:00 pm,"Tuesday, Nov 21 | 6:30-8:00 pm (CT) | In-person at RIM",Rooted In Mindfulness ,https://maps.app.goo.gl/cjT9hACaWpm6c3YP9,Suggested Donation: $45 - includes food samples,"<p id="""">Registration is closed. Please email us to be waitlisted.</p>","<p id="""">Registration is closed. Please email us to be waitlisted.</p><p id="""">‍</p>",true,false,amy-gardner,,,true,false,tuesday,,,,,,,
